epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.7333,2.7647,6.71778,2.33685,0.28157,0.02351,0.01831,0.00591,2.57713,3.95778,2.226,0.000301665,0.000301665,0.000301665
2,138.563,2.52973,5.11362,2.09058,0.35909,0.05556,0.02149,0.00699,2.5231,3.85196,2.34098,0.000592693,0.000592693,0.000592693
3,203.808,2.42386,4.1613,2.07958,0.72784,0.0773,0.04041,0.01191,2.43852,3.76128,2.231,0.000871722,0.000871722,0.000871722
4,268.699,2.40619,3.77181,2.0651,0.45562,0.16647,0.08313,0.02054,2.39176,4.76868,2.29352,0.000855005,0.000855005,0.000855005
5,333.254,2.34031,3.51248,2.0565,0.27971,0.06915,0.06677,0.02112,2.47513,3.64221,2.21603,0.000837007,0.000837007,0.000837007
6,397.739,2.24641,3.23265,1.95997,0.22967,0.17287,0.13793,0.04702,2.33335,3.08297,2.16043,0.000819009,0.000819009,0.000819009
7,462.701,2.24488,3.1679,1.94427,0.52651,0.13539,0.12356,0.04479,2.2875,3.36079,2.09599,0.000801011,0.000801011,0.000801011
8,527.458,2.19027,3.0025,1.90522,0.17829,0.12082,0.11284,0.0381,2.3412,3.10226,2.1835,0.000783013,0.000783013,0.000783013
9,591.658,2.1661,2.94267,1.8997,0.41383,0.18843,0.18619,0.06452,2.23942,2.97454,2.16144,0.000765014,0.000765014,0.000765014
10,655.99,2.14588,2.83884,1.86797,0.22733,0.20156,0.18994,0.06826,2.30876,2.79989,2.18572,0.000747016,0.000747016,0.000747016
11,720.212,2.13894,2.83762,1.85783,0.3799,0.17729,0.1631,0.05984,2.30346,2.87925,2.21793,0.000729018,0.000729018,0.000729018
12,784.346,2.09752,2.69928,1.85829,0.15637,0.22663,0.18116,0.07207,2.2822,2.76166,2.19313,0.00071102,0.00071102,0.00071102
13,848.848,2.02786,2.5752,1.80886,0.20833,0.26361,0.20671,0.07262,2.26119,2.73691,2.14675,0.000693022,0.000693022,0.000693022
14,913.306,2.04329,2.51818,1.7801,0.38155,0.21298,0.17802,0.06481,2.28715,2.76994,2.05722,0.000675023,0.000675023,0.000675023
15,977.52,2.02611,2.47109,1.78436,0.29376,0.25337,0.21769,0.08334,2.22798,2.82757,2.14923,0.000657025,0.000657025,0.000657025
16,1041.89,2.00508,2.43863,1.77308,0.38708,0.27157,0.25774,0.09036,2.32294,2.66936,2.18073,0.000639027,0.000639027,0.000639027
17,1106.45,1.95206,2.33522,1.72806,0.30828,0.28354,0.25655,0.09858,2.30175,2.72712,2.13663,0.000621029,0.000621029,0.000621029
18,1171.54,1.92632,2.33059,1.71065,0.2452,0.25942,0.21493,0.07114,2.35999,2.76673,2.18814,0.000603031,0.000603031,0.000603031
19,1236.44,1.93314,2.26601,1.72227,0.3182,0.25712,0.25243,0.09605,2.23962,2.60342,2.17156,0.000585032,0.000585032,0.000585032
20,1300.76,1.88936,2.22946,1.68023,0.25278,0.32773,0.23148,0.09293,2.24609,2.66108,2.19747,0.000567034,0.000567034,0.000567034
21,1366.1,1.85087,2.12325,1.64903,0.3087,0.28493,0.26386,0.10092,2.40713,2.54741,2.23368,0.000549036,0.000549036,0.000549036
